x,P0,dP0_dx,P1,dP1_dx,P2,dP2_dx,P3,dP3_dx,P4,dP4_dx,P5,dP5_dx
-1,1,0,-1,1,1,-3,-1,6,1,-10,-1,15
-0.99,1,0,-0.99,1,0.97015,-2.97,-0.940747,5.85075,0.902233,-9.55523,-0.85518,13.9708
-0.98,1,0,-0.98,1,0.9406,-2.94,-0.88298,5.703,0.808861,-9.12086,-0.720446,12.9827
-0.97,1,0,-0.97,1,0.91135,-2.91,-0.826682,5.55675,0.719781,-8.69678,-0.595392,12.0348
-0.96,1,0,-0.96,1,0.8824,-2.88,-0.77184,5.412,0.634891,-8.28288,-0.47962,11.126
-0.95,1,0,-0.95,1,0.85375,-2.85,-0.718437,5.26875,0.55409,-7.87906,-0.372744,10.2556
-0.94,1,0,-0.94,1,0.8254,-2.82,-0.66646,5.127,0.477277,-7.48522,-0.274384,9.42249
-0.93,1,0,-0.93,1,0.79735,-2.79,-0.615892,4.98675,0.404353,-7.10125,-0.184172,8.62592
-0.92,1,0,-0.92,1,0.7696,-2.76,-0.56672,4.848,0.335219,-6.72704,-0.101747,7.86497
-0.91,1,0,-0.91,1,0.74215,-2.73,-0.518927,4.71075,0.26978,-6.36249,-0.0267569,7.13877
-0.9,1,0,-0.9,1,0.715,-2.7,-0.4725,4.575,0.207937,-6.0075,0.0411413,6.44644
-0.89,1,0,-0.89,1,0.68815,-2.67,-0.427422,4.44075,0.149598,-5.66196,0.102282,5.78713
-0.88,1,0,-0.88,1,0.6616,-2.64,-0.38368,4.308,0.0946672,-5.32576,0.156991,5.16
-0.87,1,0,-0.87,1,0.63535,-2.61,-0.341257,4.17675,0.043052,-4.9988,0.205586,4.56422
-0.86,1,0,-0.86,1,0.6094,-2.58,-0.30014,4.047,-0.0053393,-4.68098,0.248377,3.99895
-0.85,1,0,-0.85,1,0.58375,-2.55,-0.260312,3.91875,-0.0505977,-4.37219,0.285664,3.46337
-0.84,1,0,-0.84,1,0.5584,-2.52,-0.22176,3.792,-0.0928128,-4.07232,0.317741,2.95668
-0.83,1,0,-0.83,1,0.53335,-2.49,-0.184467,3.66675,-0.132073,-3.78127,0.344892,2.47809
-0.82,1,0,-0.82,1,0.5086,-2.46,-0.14842,3.543,-0.168467,-3.49894,0.367394,2.02679
-0.81,1,0,-0.81,1,0.48415,-2.43,-0.113602,3.42075,-0.202081,-3.22522,0.385516,1.60202
-0.8,1,0,-0.8,1,0.46,-2.4,-0.08,3.3,-0.233,-2.96,0.39952,1.203
-0.79,1,0,-0.79,1,0.43615,-2.37,-0.0475975,3.18075,-0.261309,-2.70318,0.409659,0.828969
-0.78,1,0,-0.78,1,0.4126,-2.34,-0.01638,3.063,-0.287091,-2.45466,0.41618,0.479178
-0.77,1,0,-0.77,1,0.38935,-2.31,0.0136675,2.94675,-0.310429,-2.21433,0.419321,0.152885
-0.76,1,0,-0.76,1,0.3664,-2.28,0.04256,2.832,-0.331405,-1.98208,0.419314,-0.150643
-0.75,1,0,-0.75,1,0.34375,-2.25,0.0703125,2.71875,-0.350098,-1.75781,0.416382,-0.432129
-0.74,1,0,-0.74,1,0.3214,-2.22,0.09694,2.607,-0.366587,-1.54142,0.410742,-0.692286
-0.73,1,0,-0.73,1,0.29935,-2.19,0.122458,2.49675,-0.380952,-1.3328,0.402605,-0.931818
-0.72,1,0,-0.72,1,0.2776,-2.16,0.14688,2.388,-0.393269,-1.13184,0.392172,-1.15142
-0.71,1,0,-0.71,1,0.25615,-2.13,0.170223,2.28075,-0.403614,-0.938442,0.379641,-1.35178
-0.7,1,0,-0.7,1,0.235,-2.1,0.1925,2.175,-0.412063,-0.7525,0.365199,-1.53356
-0.69,1,0,-0.69,1,0.21415,-2.07,0.213728,2.07075,-0.418688,-0.573907,0.349029,-1.69745
-0.68,1,0,-0.68,1,0.1936,-2.04,0.23392,1.968,-0.423565,-0.40256,0.331307,-1.84408
-0.67,1,0,-0.67,1,0.17335,-2.01,0.253093,1.86675,-0.426763,-0.238352,0.312203,-1.97412
-0.66,1,0,-0.66,1,0.1534,-1.98,0.27126,1.767,-0.428355,-0.08118,0.291878,-2.0882
-0.65,1,0,-0.65,1,0.13375,-1.95,0.288438,1.66875,-0.42841,0.0690625,0.27049,-2.18694
-0.64,1,0,-0.64,1,0.1144,-1.92,0.30464,1.572,-0.426997,0.21248,0.248188,-2.27097
